max_cc cc_shift dlnA mstalta length start end center mode
 0.446534 -3264.0  0.121773  0.009504  1151   515  6271  3393 0
 0.398781 -3264.0  0.167101  0.009504  1310   515  7065  3790 0
 0.825331 -4.0  0.627879  0.009504   928   515  5156  2835 0
 0.834348 -4.0  0.623056  0.009504   850   515  4763  2639 0
 0.334671  0.0  2.228759  0.023251   285   515  1938  1226 0
 0.508270 -7.0  0.304289  0.009504  1056   515  5794  3154 0
 0.373467 -3264.0  0.160254  0.009504  1344   515  7233  3874 0
 0.868474 -5.0  0.804222  0.009504   595   515  3489  2002 0
 0.461560 -3264.0  0.108711  0.009504  1113   515  6079  3297 0
 0.885996 -6.0  0.781606  0.023251   538   515  3204  1859 0
 0.973802 -6.0  0.724793  0.023251   478   515  2905  1710 0
 0.463525 -3264.0  0.107929  0.009504  1129   515  6160  3337 0
 0.426099 -3264.0  0.153747  0.009504  1218   515  6603  3559 0
 0.857652 -5.0  0.690562  0.009504   705   515  4041  2278 0
 0.655814 -5.0  1.279322  0.023251   341   515  2221  1368 0
 0.883007 -6.0  0.784531  0.013506   550   515  3267  1891 0
 0.920821 -6.0  0.754736  0.023251   507   515  3051  1783 0
 0.463526 -3264.0  0.107929  0.009504  1129   517  6160  3338 0
 0.414839 -3264.0  0.164394  0.009504  1260   517  6816  3666 0
 0.831549 -4.0  0.626200  0.009504   892   517  4979  2748 0
 0.277166 -4740.0  0.030741  0.009504  1396   517  7499  4008 0
 0.398782 -3264.0  0.167101  0.009504  1310   517  7065  3791 0
 0.831526 -4.0  0.624543  0.009504   870   517  4867  2692 0
 0.817800 -4.0  0.627271  0.009504   959   517  5313  2915 0
 0.885996 -6.0  0.781606  0.023251   537   517  3204  1860 0
 0.655827 -5.0  1.279296  0.023251   341   517  2221  1369 0
 0.839113 -5.0  0.632216  0.009504   797   517  4503  2510 0
 0.825331 -4.0  0.627879  0.009504   928   517  5156  2836 0
 0.426100 -3264.0  0.153747  0.009504  1217   517  6603  3560 0
 0.933463 -8.0  0.516240  0.023251   407   517  2552  1534 0
 0.920821 -6.0  0.754736  0.023251   507   517  3051  1784 0
 0.868474 -5.0  0.804222  0.009504   594   517  3489  2003 0
 0.439513 -3264.0  0.122574  0.009504  1176   517  6395  3456 0
 0.508270 -7.0  0.304289  0.009504  1055   517  5794  3155 0
 0.876056 -6.0  0.797186  0.009504   572   517  3377  1947 0
 0.883007 -6.0  0.784531  0.013506   550   517  3267  1892 0
 0.857108 -4.0  0.699223  0.009504   664   517  3837  2177 0
 0.373468 -3264.0  0.160254  0.009504  1343   517  7233  3875 0
 0.334672  0.0  2.228705  0.023251   284   517  1938  1227 0
 0.875239 -9.0  0.710890  0.023251   385   517  2443  1480 0
 0.857652 -5.0  0.690562  0.009504   705   517  4041  2279 0
 0.722717 -6.0  0.998477  0.023251   363   517  2330  1423 0
 0.834348 -4.0  0.623055  0.009504   849   517  4763  2640 0
 0.973802 -6.0  0.724793  0.023251   478   517  2905  1711 0
 0.441110  0.0  1.766691  0.023251   307   517  2051  1284 0
 0.304694 -38.0  2.228858  0.023251   273   517  1884  1200 0
 0.789411 -4.0  0.598025  0.009504  1005   517  5541  3029 0
 0.446535 -3264.0  0.121773  0.009504  1151   517  6271  3394 0
 0.304841 -38.0  2.230301  0.023251   273   517  1882  1199 0
 0.475723 -34.0  1.400709  0.023251   326   517  2148  1332 0
 0.839616 -5.0  0.630992  0.009504   769   517  4361  2439 0
 0.433580 -3264.0  0.143964  0.009504  1197   517  6504  3510 0
 0.461560 -3264.0  0.108711  0.009504  1112   517  6079  3298 0
 0.813181 -4.0  0.621452  0.009504   982   517  5425  2971 0
 0.441128  0.0  1.766619  0.023251   306   519  2051  1285 0
 0.813181 -4.0  0.621452  0.009504   981   519  5425  2972 0
 0.868474 -5.0  0.804222  0.009504   594   519  3489  2004 0
 0.277165 -4740.0  0.030740  0.009504  1396   519  7499  4009 0
 0.831549 -4.0  0.626200  0.009504   892   519  4979  2749 0
 0.875246 -9.0  0.710881  0.023251   385   519  2443  1481 0
 0.789411 -4.0  0.598025  0.009504  1004   519  5541  3030 0
 0.334675  0.0  2.228619  0.023251   284   519  1938  1228 0
 0.508270 -7.0  0.304289  0.009504  1055   519  5794  3156 0
 0.857108 -4.0  0.699223  0.009504   664   519  3837  2178 0
 0.439514 -3264.0  0.122574  0.009504  1175   519  6395  3457 0
 0.304665 -38.0  2.228762  0.023251   273   519  1884  1201 0
 0.885996 -6.0  0.781606  0.023251   537   519  3204  1861 0
 0.414840 -3264.0  0.164393  0.009504  1259   519  6816  3667 0
 0.398783 -3264.0  0.167101  0.009504  1309   519  7065  3792 0
 0.834348 -4.0  0.623056  0.009504   849   519  4763  2641 0
 0.883007 -6.0  0.784531  0.013506   550   519  3267  1893 0
 0.831526 -4.0  0.624543  0.009504   870   519  4867  2693 0
 0.373469 -3264.0  0.160254  0.009504  1343   519  7233  3876 0
 0.304812 -38.0  2.230204  0.023251   273   519  1882  1200 0
 0.446536 -3264.0  0.121773  0.009504  1150   519  6271  3395 0
