Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
SC,CBET,-103.879,32.4203,New Mexico Tech Seismic Network,TXHUB,,Carlsbad East Tower,1042,2015-12-06,
SC,CL2B,-103.879,32.2641,New Mexico Tech Seismic Network,TXHUB,,Gnome Test Site,1046,2015-12-06,
SC,CL7,-103.8084,32.413,New Mexico Tech Seismic Network,TXHUB,,WIPP Site,1034,2015-12-06,
SC,CPRX,-103.8673,33.0308,New Mexico Tech Seismic Network,TXHUB,,Cap Rock,1361,2015-12-06,
SC,DAG,-104.6917,32.591,New Mexico Tech Seismic Network,TXHUB,,Dagger Draw,1280,2015-12-06,
SC,GDL2,-104.3637,32.2008,New Mexico Tech Seismic Network,TXHUB,,Guadalupe Mountains,1211,2015-12-06,
SC,HTMS,-103.6343,32.4726,New Mexico Tech Seismic Network,TXHUB,,Hat Mesa,1192,2015-12-06,
SC,JAL,-103.229317,32.202412,,,,,1020,2019-12-20,
SC,PDB,-103.596619,32.072201,,,,,1025,2019-12-20,
SC,SRH,-104.5154,32.4918,New Mexico Tech Seismic Network,TXHUB,,Seven River Hills,1276,2015-12-06,
SC,SSS,-103.3986,32.3551,New Mexico Tech Seismic Network,TXHUB,,San Simon Sink,1072,2015-12-06,
SC,Y22A,-106.9652,33.937,New Mexico Tech Seismic Network,TXHUB,,Socorro,1674,2010-02-04,
IU,ANMO,-106.457199,34.945911,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Albuquerque,1820,2008-06-30,
IU,HKT,-95.838402,29.9618,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Hockley,-413,2011-09-27,
IU,TEIG,-88.276299,20.226299,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Tepich,40,2014-10-30,
EP,KIDD,-106.506376,31.771774,UTEP Seismic Network,TXHUB,,KIDD Seismic Observatory,1162.5,2009-10-08,
TX,237B,-95.808403,32.001499,Texas Seismological Network,TXHUB,,Washetta,116,2018-12-19,
TX,435B,-97.585,30.7827,Texas Seismological Network,TXHUB,,Jarrell,248,2018-11-30,
TX,833A,-99.3939,28.3236,Texas Seismological Network,TXHUB,,Chaparral WMA,171,2019-01-24,
TX,ALPN,-103.63852,30.37448,Unavailable,TXHUB,,"Alpine, TX",1368,2017-02-03,
TX,APMT,-100.12155,33.32512,Unavailable,TXHUB,,"Aspermont,TX",501,2016-12-17,
TX,BRDY,-98.999447,31.285872,Unavailable,TXHUB,,"Brady, TX",460,2017-02-16,
TX,CRHG,-94.22517,32.28884,Unavailable,TXHUB,,"Carthage,TX",95,2021-06-15,
TX,DG01,-103.271077,31.377576,University of Texas,TexNet,,"Pecos,TX",787,2019-11-21,
TX,DG02,-103.54313,31.40151,University of Texas,TexNet,,"Pecos, TX",804,2020-05-22,
TX,DG03,-103.48416,31.38856,University of Texas,TexNet,,"Pecos, TX",830,2020-03-06,
TX,DG04,-103.41261,31.28734,University of Texas,TexNet,,"Pecos, TX",795,2020-06-02,
TX,DG05,-103.493279,31.17007,University of Texas,TexNet,,"Pecos, TX",837,2020-06-02,
TX,DG06,-103.4845,31.4124,University of Texas,TexNet,,"Pecos, TX",785,2020-06-03,
TX,DG07,-103.52788,31.452888,University of Texas,TexNet,,"Pecos, TX",794,2020-06-04,
TX,DG08,-103.7242,31.19053,University of Texas,TexNet,,"Pecos, TX",895,2020-06-04,
TX,DG09,-103.51277,31.37222,University of Texas,TexNet,,"Pecos, TX",795,2020-06-04,
TX,DKNS,-100.92365,33.66653,Unavailable,TXHUB,,"Dickens, TX",843,2016-12-17,
TX,DRIO,-100.61888,29.42311,Unavailable,TXHUB,,"Bracketville, TX",354,2017-03-17,
TX,DRZT,-100.29688,36.44401,Unavailable,TXHUB,,"Perryton, TX",791,2017-08-09,
TX,FLRS,-98.38039,29.12809,Unavailable,TXHUB,,"Floresville, TX",173,2019-09-09,
TX,EF02,-98.5311,28.7755,,,,"Christine, TX",97.6,2019-01-24,
TX,EF03,-97.98036,28.94704,Unavailable,TXHUB,,"Hobson, TX",96,2018-06-09,
TX,EF04,-97.78986,29.21003,Unavailable,TXHUB,,"Nixon, TX",116,2017-12-20,
TX,EF05,-97.517897,28.989876,Unavailable,TXHUB,,"Yorktown, TX",88,2018-11-07,
TX,ET01,-94.36497,31.46512,,,,"Chireno,TX",97,2021-06-16,
TX,FW01,-96.87833,32.684047,Unavailable,TXHUB,,"Dallas, TX",203.39,2016-10-19,
TX,FW02,-97.34255,32.95019,Unavailable,TXHUB,,"Haslet, TX",226.466,2016-09-22,
TX,FW03,-98.065202,33.039624,Unavailable,TXHUB,,"Mineral Wells, TX",321,2016-10-18,
TX,FW04,-96.92325,32.84763,Unavailable,TXHUB,,"Dallas, TX",144.8,2016-09-28,
TX,FW05,-96.747081,32.988669,Unavailable,TXHUB,,"Dallas, TX",207.338,2016-11-16,
TX,FW06,-97.55693,32.972559,Unavailable,TXHUB,,"Azle, TX",233,2016-10-19,
TX,FW07,-97.786092,32.702466,Unavailable,TXHUB,,"Weatherford, TX",310.9,2016-10-18,
TX,FW09,-96.913922,32.92282,Unavailable,TXHUB,,"Farmers Branch, TX",133.3181,2016-09-29,
TX,FW11,-97.12787,32.72273,Unavailable,TXHUB,,"Arlington, TX",197.479,2016-10-20,
TX,FW12,-97.148597,32.499076,Unavailable,TXHUB,,"Alvarado, TX",203.91,2016-09-21,
TX,FW13,-97.43112,32.35172,Unavailable,TXHUB,,"Cleburne, TX",259,2016-11-15,
TX,FW14,-97.1923,32.3991,Unavailable,TXHUB,,"Alvarado, TX",219,2016-11-15,
TX,FW15,-97.3695,32.7044,Unavailable,TXHUB,,"Fort Worth, TX",192,2017-04-12,
TX,FW16,-96.89716,32.48187,Unavailable,TXHUB,,"Waxahatchie, TX",193,2016-11-16,
TX,HBVL,-98.669634,27.064992,Unavailable,TXHUB,,"Hebbronville, TX",155,2017-02-15,
TX,HNDO,-99.28081,29.5288,Unavailable,TXHUB,,"Hondo, TX",381,2017-02-16,
TX,HNVL,-95.466664,30.75643,Unavailable,TXHUB,,Huntsville TX,87,2017-04-06,
TX,MB01,-102.0829098,31.6677338,Unavailable,,,"Midkiff, TX",859,2019-03-01,
TX,MB02,-102.037907,31.19806,Unavailable,,,"Rankin, TX",767.74,2018-11-16,
TX,MB04,-102.48802,32.62542,Unavailable,,,"Seminole,TX",956,2018-11-16,
TX,MB05,-101.8597158,32.6265397,Unavailable,,,"Klondike, TX",882,2019-03-01,
TX,MB06,-101.7999756,31.9779827,Unavailable,,,"Greenwood, TX",801,2019-02-28,
TX,MB07,-102.25277,32.00061,Unavailable,,,"Midland, TX",880,2019-07-25,
TX,MB08,-102.328832,31.884437,University of Texas,TexNet,,"Odessa, TX",863,2020-07-09,
TX,MLDN,-97.068723,29.822212,Unavailable,TXHUB,,"Muldoon, TX",104,2017-08-04,
TX,MNHN,-102.76141,31.34023,Unavailable,TXHUB,,"Monahans, TX",750,2017-08-04,
TX,ODSA,-102.54913,32.12009,Unavailable,TXHUB,,"Odessa, TX",943,2016-12-22,
TX,OG01,-102.305318,31.934943,University of Texas,TexNet,,"Odessa, TX",892,2020-07-08,
TX,OG02,-102.323853,31.954503,University of Texas,TexNet,,"Odessa, TX",909,2020-07-09,
TX,OG03,-102.4867,32.02737,University of Texas,TexNet,,"Odessa, TX",921,2020-09-09,
TX,OZNA,-101.12708,30.92195,Unavailable,TXHUB,,"Ozona, TX",770.8392,2017-02-08,
TX,PB01,-103.78112,30.94367,Unavailable,TXHUB,,"Toyahvale, TX",1010,2017-09-13,
TX,PB03,-103.51395,31.08384,Unavailable,TXHUB,,"Varhalen, TX",871,2021-07-28,
TX,PB04,-103.2694,31.18697,Unavailable,TXHUB,,"Verhalen, TX",812,2019-02-12,
TX,PB05,-103.3247,30.91978,Unavailable,TXHUB,,"Pecos County, TX",957,2016-11-05,
TX,PB06,-103.21825,31.6472,Unavailable,TXHUB,,"Pyote, TX",831,2017-10-11,
TX,PB07,-103.66793,31.57935,Unavailable,TXHUB,,"Pecos, TX",856,2017-10-11,
TX,PB08,-102.90736,30.89174,Unavailable,TXHUB,,"Fort Stockton, TX",926,2017-05-25,
TX,PB09,-104.301444,31.774145,Unavailable,TXHUB,,"Orla, TX",1139,2019-05-22,
TX,PB10,-103.754585,31.283607,Unavailable,TXHUB,,"Toyah, TX",858,2018-10-17,
TX,PB11,-104.03412,31.93553,Unavailable,TXHUB,,"NW of Orla, TX",915,2018-05-03,
TX,PB12,-103.9577,31.2133,,,,"Toyah, TX",1011.9,2018-11-13,
TX,PB13,-103.8458,31.5542,,,,"Northwest of Pecos, TX",956.1,2019-04-25,
TX,PB14,-103.1511,31.12932,Texas Seismological Network,TXHUB,,Fort Stockton,807,2019-06-27,
TX,PB16,-103.252,31.12496,Unavailable,TXHUB,,"Coyanosa, TX",848,2019-02-13,
TX,PB17,-103.15182,30.99675,Texas Seismological Network,TXHUB,,Fort Stockton,734,2020-02-20,
TX,PB18,-103.1996,31.20084,Texas Seismological Network,TXHUB,,Coyanosa,825,2019-06-28,
TX,PB19,-103.099701,31.303087,,,,"West of Imperial, TX",782.4,2019-05-23,
TX,PB21,-103.06216,31.341918,Unavailable,TXHUB,,"Coyanosa, TX",753,2019-09-11,
TX,PB22,-103.007,31.21173,Texas Seismological Network,TXHUB,,coyonosa,808,2021-07-27,
TX,PB28,-104.50077,31.66864,Unavailable,TXHUB,,Culberson County,1204,2020-03-05,
TX,PB29,-104.514453,31.75299,Unavailable,TXHUB,,Culberson County,1242,2020-03-06,
TX,PB30,-103.3227,31.2804,Texas Seismological Network,TXHUB,,"Pecos, TX",829,2020-03-04,
TX,PB31,-104.030536,31.73226,Unavailable,TXHUB,,"Orla, TX",907,2020-05-21,
TX,PB32,-103.37278,31.10306,Texas Seismological Network,TXHUB,,"Pecos, TX",861,2020-06-03,
TX,PB33,-104.054045,31.534929,Texas Seismological Network,TXHUB,,"Pecos, TX",1006,2020-06-03,
TX,PCOS,-103.510147,31.408922,Guralp Systems,TXHUB,,Crockett Middle School Pecos,788.2,2019-03-31,
TX,PECS,-103.86697,31.37045,Unavailable,TXHUB,,"Toyah, TX",914,2017-02-01,
TX,PH02,-101.946743,35.39086,Unavailable,TXHUB,,"Potter County, TX",1094,2018-10-25,
TX,PH03,-101.551399,35.3574,Unavailable,TXHUB,,"Panhandle, TX",1055,2018-10-26,
TX,PLPT,-98.31578,32.81276,Unavailable,TXHUB,,"Palo Pinto, TX",336,2017-08-08,
TX,POST,-101.50105,33.0662,Unavailable,TXHUB,,"Post, TX",788.6,2016-12-21,
TX,RTBA,-102.73743,36.43795,Unavailable,TXHUB,,"Rita Blanca, TX",1284,2017-08-10,
TX,SAND,-102.12331,29.95471,Unavailable,TXHUB,,"Sanderson, TX",688.8,2017-02-07,
TX,SGCY,-101.12639,31.91436,Unavailable,TXHUB,,"Sterling City, TX",776,2017-02-08,
TX,SMWD,-100.24248,35.10455,Unavailable,TXHUB,,"Samnorwood, TX",704,2017-08-09,
TX,SN02,-100.91106,32.86452,Unavailable,TXHUB,,"Snyder, TX",748,2017-03-09,
TX,SN03,-100.94118,32.92429,Unavailable,TXHUB,,"Snyder, TX",744,2017-03-09,
TX,SN04,-100.86952,32.89878,Unavailable,TXHUB,,"Snyder, TX",716,2017-03-09,
TX,SN07,-100.89172,33.09092,Unavailable,TXHUB,,"Snyder, TX",620,2016-09-28,
TX,SN08,-101.060724,32.782579,Unavailable,TXHUB,,"Arah, TX",758,2018-11-29,
TX,SN09,-100.739412,32.672969,Unavailable,TXHUB,,"Hermleigh, TX",663,2019-10-01,
TX,SN10,-100.72388,33.04918,Unavailable,TXHUB,,"Rotan, TX",658,2019-03-21,
TX,SNAG,-94.17877,31.51818,Unavailable,TXHUB,,"San Augustine, TX",84,2017-08-07,
