#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
ZW|AZCF|00|EHZ|33.184074|-97.446251|381.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2015-06-25T00:00:00|2016-12-31T23:59:59
ZW|AZDA||LOG|32.972836|-97.555344|238.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2014-01-08T00:00:00|2016-12-31T23:59:59
ZW|AZDA||LOG|32.972801|-97.555298|238.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA||VM1|32.972836|-97.555344|238.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2014-01-08T00:00:00|2016-12-31T23:59:59
ZW|AZDA||VM2|32.972836|-97.555344|238.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2014-01-08T00:00:00|2016-12-31T23:59:59
ZW|AZDA||VM3|32.972836|-97.555344|238.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2014-01-08T00:00:00|2016-12-31T23:59:59
ZW|AZDA|00|BDD|32.972836|-97.555344|238.0|0.0|0.0|-90.0|Chapparral 2.5 microphone/Reftek 130 Datalogger|235590.0|0.4|PA|40.0|2014-01-08T00:00:00|2017-12-31T23:59:59
ZW|AZDA|00|BDD|32.972801|-97.555298|238.0|0.0|0.0|-90.0|Chapparral 2.5 microphone/Reftek 130 Datalogger|235590.0|0.4|PA|40.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA|00|EHE|32.972836|-97.555344|238.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2014-01-08T00:00:00|2016-12-31T23:59:59
ZW|AZDA|00|EHE|32.972801|-97.555298|238.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA|00|EHN|32.972836|-97.555344|238.0|0.0|270.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2014-01-08T00:00:00|2016-12-31T23:59:59
ZW|AZDA|00|EHN|32.972801|-97.555298|238.0|0.0|270.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA|00|EHZ|32.972836|-97.555344|238.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2014-01-08T00:00:00|2016-12-31T23:59:59
ZW|AZDA|00|EHZ|32.972801|-97.555298|238.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA|01|EDD|32.972836|-97.555344|238.0|0.0|0.0|-90.0|Chapparral 2.5 microphone/Reftek 130 Datalogger|230094.0|0.8|PA|200.0|2014-01-08T00:00:00|2017-12-31T23:59:59
ZW|AZDA|01|EDD|32.972801|-97.555298|238.0|0.0|0.0|-90.0|Chapparral 2.5 microphone/Reftek 130 Datalogger|230094.0|0.8|PA|200.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA|01|EHE|32.972836|-97.555344|238.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|6.02383E8|10.0|M/S|200.0|2014-01-08T00:00:00|2017-12-31T23:59:59
ZW|AZDA|01|EHE|32.972801|-97.555298|238.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|6.02383E8|10.0|M/S|200.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA|01|EHN|32.972836|-97.555344|238.0|0.0|270.0|0.0|Mark Products L28/Reftek 130 Datalogger|6.02383E8|10.0|M/S|200.0|2014-01-08T00:00:00|2017-12-31T23:59:59
ZW|AZDA|01|EHN|32.972801|-97.555298|238.0|0.0|270.0|0.0|Mark Products L28/Reftek 130 Datalogger|6.02383E8|10.0|M/S|200.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA|01|EHZ|32.972836|-97.555344|238.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|6.02383E8|10.0|M/S|200.0|2014-01-08T00:00:00|2017-12-31T23:59:59
ZW|AZDA|01|EHZ|32.972801|-97.555298|238.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|6.02383E8|10.0|M/S|200.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA|02|EHZ|32.972836|-97.555344|238.0|0.0|0.0|-90.0|Mark Products L4C/Reftek 130 Datalogger|3.35151E9|4.0|M/S|100.0|2014-01-08T00:00:00|2016-12-31T23:59:59
ZW|AZDA|02|EHZ|32.972801|-97.555298|238.0|0.0|0.0|-90.0|Mark Products L4C/Reftek 130 Datalogger|3.34733E9|4.0|M/S|100.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZDA|03|EHZ|32.972836|-97.555344|238.0|0.0|0.0|-90.0|Mark Products L4C/Reftek 130 Datalogger|3.35386E9|5.0|M/S|200.0|2014-01-08T00:00:00|2017-12-31T23:59:59
ZW|AZDA|03|EHZ|32.972801|-97.555298|238.0|0.0|0.0|-90.0|Mark Products L4C/Reftek 130 Datalogger|3.35118E9|5.0|M/S|200.0|2018-01-01T00:00:00|2018-12-31T23:59:59
ZW|AZE2||HHE|32.94939|-97.615204|244.0|0.0|90.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2014-08-20T00:00:00|2015-12-31T23:59:59
ZW|AZE2||HHN|32.94939|-97.615204|244.0|0.0|0.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2014-08-20T00:00:00|2015-12-31T23:59:59
ZW|AZE2||HHZ|32.94939|-97.615204|244.0|0.0|0.0|-90.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2014-08-20T00:00:00|2015-12-31T23:59:59
ZW|AZE2||LME|32.94939|-97.615204|244.0|0.0|90.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.12379E8|0.07|M/S|1.0|2014-08-20T00:00:00|2015-12-31T23:59:59
ZW|AZE2||LMN|32.94939|-97.615204|244.0|0.0|0.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.12379E8|0.07|M/S|1.0|2014-08-20T00:00:00|2015-12-31T23:59:59
ZW|AZE2||LMZ|32.94939|-97.615204|244.0|0.0|0.0|-90.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.12379E8|0.07|M/S|1.0|2014-08-20T00:00:00|2015-12-31T23:59:59
ZW|AZFC||HHE|32.853073|-97.728622|303.0|0.0|90.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2014-08-21T00:00:00|2015-12-31T23:59:59
ZW|AZFC||HHN|32.853073|-97.728622|303.0|0.0|0.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2014-08-21T00:00:00|2015-12-31T23:59:59
ZW|AZFC||HHZ|32.853073|-97.728622|303.0|0.0|0.0|-90.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2014-08-21T00:00:00|2015-12-31T23:59:59
ZW|AZFC||LME|32.853073|-97.728622|303.0|0.0|90.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.12379E8|0.07|M/S|1.0|2014-08-21T00:00:00|2015-12-31T23:59:59
ZW|AZFC||LMN|32.853073|-97.728622|303.0|0.0|0.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.12379E8|0.07|M/S|1.0|2014-08-21T00:00:00|2015-12-31T23:59:59
ZW|AZFC||LMZ|32.853073|-97.728622|303.0|0.0|0.0|-90.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.12379E8|0.07|M/S|1.0|2014-08-21T00:00:00|2015-12-31T23:59:59
ZW|AZHL||HHE|32.965649|-97.348289|222.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-11T00:00:00|2016-03-09T23:59:59
ZW|AZHL||HHN|32.965649|-97.348289|222.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-11T00:00:00|2016-03-09T23:59:59
ZW|AZHL||HHZ|32.965649|-97.348289|222.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-11T00:00:00|2016-03-09T23:59:59
ZW|AZHL||LOG|32.965649|-97.348289|222.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2016-03-10T00:00:00|2016-12-31T23:59:59
ZW|AZHL||MME|32.965649|-97.348289|222.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-11T00:00:00|2016-03-09T23:59:59
ZW|AZHL||MMN|32.965649|-97.348289|222.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-11T00:00:00|2016-03-09T23:59:59
ZW|AZHL||MMZ|32.965649|-97.348289|222.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-11T00:00:00|2016-03-09T23:59:59
ZW|AZHL||VM1|32.965649|-97.348289|222.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2016-03-10T00:00:00|2016-12-31T23:59:59
ZW|AZHL||VM2|32.965649|-97.348289|222.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2016-03-10T00:00:00|2016-12-31T23:59:59
ZW|AZHL||VM3|32.965649|-97.348289|222.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2016-03-10T00:00:00|2016-12-31T23:59:59
ZW|AZHL|00|EHE|32.965649|-97.348289|222.0|0.0|90.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2016-03-10T00:00:00|2016-12-31T23:59:59
ZW|AZHL|00|EHN|32.965649|-97.348289|222.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2016-03-10T00:00:00|2016-12-31T23:59:59
ZW|AZHL|00|EHZ|32.965649|-97.348289|222.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2016-03-10T00:00:00|2016-12-31T23:59:59
ZW|AZLE||HHE|32.982395|-97.786163|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-11T00:00:00|2015-02-09T23:59:59
ZW|AZLE||HHE|32.982395|-97.786163|381.0|0.0|90.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2015-02-10T00:00:00|2015-06-24T23:59:59
ZW|AZLE||HHN|32.982395|-97.786163|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-11T00:00:00|2015-02-09T23:59:59
ZW|AZLE||HHN|32.982395|-97.786163|381.0|0.0|0.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2015-02-10T00:00:00|2015-06-24T23:59:59
ZW|AZLE||HHZ|32.982395|-97.786163|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-11T00:00:00|2015-02-09T23:59:59
ZW|AZLE||HHZ|32.982395|-97.786163|381.0|0.0|0.0|-90.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2015-02-10T00:00:00|2015-06-24T23:59:59
