EventID,Origin Date,Origin Time,Latitude (WGS84),Longitude (WGS84),Depth,RMS,Magnitude,phases,evaluation mode,author,status,event_type,min_sta_dist,GAP,depth_uncertainty,latitude_uncertainty,longitude_uncertainty,
texnet2017dsoy,2/22/2017,20:35:58,33.31970215,-97.76916504,9.341715495,0.67,1.887213274,18,manual,chas,final,quarry blast,41.64501919,116.709212,3.188434985,2.371120711,2.2842601,
texnet2017dssh,2/22/2017,22:17:41,33.25012207,-97.77282715,1.614013672,0.81,2.056477369,14,manual,chas,final,quarry blast,35.95581078,108.3669733,2.991010189,2.32953087,2.497968012,
texnet2017dunt,2/23/2017,22:16:10,33.19050305,-97.81628772,8.936132813,0.44,2.270513158,12,manual,chas,final,quarry blast,28.32479111,60.87736874,1.008806942,1.960385067,1.642079704,
texnet2017dwjg,2/24/2017,22:16:27,33.17392336,-97.83269829,7.846289063,0.67,2.485090479,19,manual,chas,final,quarry blast,26.04340721,60.08740342,0.723091187,1.978597787,1.531260644,
texnet2017dwod,2/25/2017,0:44:29,30.64178467,-98.29559326,3.497029622,0.26,1.264227639,11,manual,chas,final,quarry blast,69.82041201,140.868172,1.983562581,1.533094483,1.162085191,
texnet2017efkr,3/1/2017,21:13:16,33.15,-97.83066667,5,0.8,2.147207121,20,manual,chas,final,quarry blast,25.13773712,206,3.1,2.687005769,2.687005769,
texnet2017ehek,3/2/2017,20:19:35,32.27583333,-100.4908333,7,0.67,1.213242918,13,manual,chas,final,quarry blast,72.3085506,112,3.1,1.979898987,1.979898987,
texnet2017ehfg,3/2/2017,20:45:55,33.27758789,-97.78930664,3.619303385,0.67,2.617931757,23,manual,chas,final,quarry blast,36.93189638,91.24129558,3.243009893,1.374948174,2.625335964,
texnet2017ehhm,3/2/2017,21:52:00,32.41149902,-96.8536377,13.54793294,0.6,2.501469713,16,manual,chas,final,quarry blast,8.842774392,284.537381,2.456220468,2.638093707,2.443051015,
texnet2017ejdw,3/3/2017,22:19:22,33.23886047,-97.87265435,13.38632813,0.54,2.636180458,13,manual,chas,final,quarry blast,28.20567474,96.21516202,6.345373501,2.081740292,2.287635288,
texnet2017eqjd,3/7/2017,20:55:30,30.94665527,-99.12780762,0.048909505,0.68,0.8626788,12,manual,chas,final,quarry blast,37.97232231,88.70357421,1.68063286,1.808897084,3.997808679,
texnet2017evts,3/10/2017,19:57:57,33.27575684,-97.83874512,1.418375651,0.61,2.158023758,14,manual,chas,final,quarry blast,33.7246746,85.20927388,2.463530683,2.46222094,2.513576811,
texnet2017fdck,3/14/2017,20:19:03,29.45983887,-99.3182373,0.048909505,0.74,1.558814194,12,manual,Bissett,final,quarry blast,8.493426229,98.81913001,1.500690803,1.465789718,4.39577613,
texnet2017fden,3/14/2017,21:22:05,33.31237793,-97.78747559,11.49373372,0.64,2.489556226,19,manual,Bissett,final,quarry blast,39.91088029,92.77697782,3.25706287,1.897613606,2.077421245,
texnet2017ffcl,3/15/2017,22:35:31,30.97229004,-99.13146973,5.233317057,1.01,1.305584274,11,manual,Bissett,final,quarry blast,35.38483266,165.2442221,2.287766015,1.767719582,2.834387166,
texnet2017fifv,3/17/2017,15:43:05,31.11602783,-105.0741577,0.024454753,1.09,1.336546229,13,manual,chas,final,quarry blast,37.65775983,164.0976382,1.671249355,1.507161177,2.686856819,
texnet2017fiim,3/17/2017,17:04:01,30.92376709,-99.22943115,0.024454753,0.49,1.383194335,13,manual,chas,final,quarry blast,44.19911114,86.55144074,1.48430084,1.80018958,2.212109548,
texnet2017foao,3/20/2017,19:52:27,33.16589355,-97.77282715,15.11303711,0.56,2.43481848,14,manual,chastity,final,quarry blast,29.48382611,132.1715161,3.386372618,3.753615364,2.410114214,
texnet2017fobk,3/20/2017,20:18:55,30.97229004,-99.1607666,0.440185547,0.61,1.112452852,14,manual,chastity,final,quarry blast,36.43176333,86.56415556,2.043298445,2.334745983,2.69985186,
texnet2017gbag,3/27/2017,22:28:58,30.65734863,-98.30383301,2.494384766,0.62,1.235600655,13,manual,chastity,final,quarry blast,70.21892904,138.7296932,3.76110131,3.447942363,4.082972773,
texnet2017gcqi,3/28/2017,19:45:43,33.25744629,-97.91931152,24.60148112,0.64,2.083952131,15,manual,chastity,final,quarry blast,27.81302975,101.8245633,3.296033852,2.762333282,2.776241441,
texnet2017gcut,3/28/2017,21:58:37,30.98236084,-99.1708374,0.366821289,0.67,1.109362857,18,manual,chastity,final,quarry blast,35.82373215,128.8175178,1.540633076,2.003227317,2.463871339,
texnet2017gnrv,4/3/2017,20:59:45,29.45526123,-99.25140381,0.024454753,0.8,1.626000132,17,manual,chastity,final,quarry blast,8.67131061,82.46335603,1.286591766,1.548234469,2.377853236,
texnet2017gnsr,4/3/2017,21:24:51,33.2711792,-97.80853271,4.03503418,0.53,2.524529533,25,manual,chastity,final,quarry blast,35.18089276,73.07593938,2.189557447,1.021878847,1.151794283,
texnet2017gssh,4/6/2017,14:53:49,29.52758789,-98.4777832,1.271647135,0.24,1.083574418,9,manual,chastity,final,quarry blast,77.81136903,228.3695395,2.826602908,2.391518662,3.635105505,
texnet2017gsyt,4/6/2017,18:10:00,30.92834473,-99.18640137,2.103108724,0.32,1.363546129,11,manual,chastity,final,quarry blast,41.89910438,159.0128262,3.702505125,2.058658369,5.57551316,
texnet2017gtgi,4/6/2017,22:00:15,33.15948486,-97.83233643,11.42036947,0.43,1.569740363,21,manual,chastity,final,quarry blast,25.49843579,132.3731544,2.032268654,1.998527265,1.146769448,
texnet2017guyq,4/7/2017,20:23:53,33.24829102,-97.92114258,10.66227214,0.83,2.272498913,12,manual,chastity,final,quarry blast,26.84286421,106.73133,4.770560975,7.445328258,4.556090067,
texnet2017gvcq,4/7/2017,22:23:57,33.31237793,-97.83874512,9.537353516,0.47,1.967540715,17,manual,chastity,final,quarry blast,36.99058552,87.61383185,2.445651268,1.410069857,1.76129553,
texnet2017hano,4/10/2017,21:36:00,33.35266113,-97.64465332,13.1566569,0.37,1.938589064,11,manual,chastity,final,quarry blast,43.1072232,202.7168913,2.821040593,2.49704789,3.213198202,
texnet2017hccj,4/11/2017,18:12:50,33.14666748,-97.84515381,6.089233398,0.42,2.638188392,20,manual,chastity,final,quarry blast,23.74097475,147.1532945,2.23507207,1.550790907,1.314404933,
texnet2017hdub,4/12/2017,16:17:11,32.2833252,-100.6695557,0.048909505,0.54,2.153871246,16,manual,Bissett,final,quarry blast,59.54206195,74.46789906,3.752748633,1.689049824,3.794269386,
texnet2017hdxv,4/12/2017,18:11:53,33.25744629,-97.93762207,8.363525391,0.78,1.909035426,22,manual,Bissett,final,quarry blast,27.01914059,82.30597829,2.7998869,1.659341779,2.273270122,
texnet2017hdyr,4/12/2017,18:37:30,30.9175,-99.0775,-0.9,0.77,1.055843268,20,manual,chastity,final,quarry blast,39.85983814,135,2.4,1.626345597,1.626345597,
texnet2017hdzt,4/12/2017,19:09:43,33.13293457,-97.83874512,11.59155273,0.72,2.169235221,21,manual,Bissett,final,quarry blast,23.54741879,93.24941221,2.608596333,1.647954511,1.37800745,
texnet2017hfpi,4/13/2017,16:11:02,33.26843262,-97.79846191,5.135498047,0.67,1.995138707,13,manual,chastity,final,quarry blast,35.60686546,87.68105558,3.397930312,1.840064152,2.32655731,
texnet2017hfxa,4/13/2017,20:04:16,29.44793701,-99.28436279,0.024454753,1.03,1.61576111,19,manual,chastity,final,quarry blast,9.011655712,84.20154458,1.346505563,1.514686707,3.051049745,
texnet2017hhsw,4/14/2017,20:14:08,33.27758789,-97.87719727,13.40120443,0.47,2.642702286,8,manual,chastity,final,quarry blast,31.77417397,110.8946881,24.40276154,61.81410006,22.45784157,
texnet2017hnde,4/17/2017,19:09:17,30.93566895,-99.21569824,3.668212891,0.49,1.570387317,13,manual,chastity,final,quarry blast,42.40765704,86.76238547,2.376277931,2.237638016,2.289131089,
texnet2017hpho,4/18/2017,23:36:03,33.55133057,-101.5988159,0.024454753,0.44,2.24412087,26,manual,chastity,final,quarry blast,54.78600478,84.11397,1.278608283,1.660463049,1.545828436,
texnet2017hqzn,4/19/2017,21:50:41,33.27575684,-97.96691895,21.37345378,0.35,1.651463319,11,manual,Bissett,final,quarry blast,27.84935951,124.6147548,3.064811699,1.656214979,1.706134775,
texnet2017hrda,4/19/2017,23:35:27,31.0043335,-99.14337158,0.024454753,0.53,1.19500192,13,manual,Bissett,final,quarry blast,32.49641928,85.62448401,1.591891676,1.758604283,1.797922973,
texnet2017hsrk,4/20/2017,19:59:01,33.26568604,-97.87261963,0.024454753,0.68,2.250607624,16,manual,Bissett,final,quarry blast,43.95731515,127.0862723,1.824214267,2.10923925,2.138954489,
texnet2017hstd,4/20/2017,20:53:09,32.37670898,-96.81518555,13.40120443,0.65,2.065514386,19,manual,Bissett,final,quarry blast,14.02124512,277.2260388,5.554529682,4.704871462,3.314672289,
texnet2017hsvm,4/20/2017,22:03:18,30.64178467,-98.27545166,1.247192383,0.27,1.310269073,12,manual,Bissett,final,quarry blast,67.94272988,90.62000588,1.939631861,1.722901843,1.215792479,
texnet2017hunj,4/21/2017,20:13:48,33.331604,-97.93487549,1.736287435,0.78,2.102586582,26,manual,Bissett,final,quarry blast,34.71253231,69.60476489,1.678903434,1.296438988,1.544482746,
texnet2017ibva,4/25/2017,20:01:41,29.26391602,-98.47045898,8.510253906,0.65,1.355221421,15,manual,Bissett,final,quarry blast,78.90832641,65.64717287,5.178826637,3.83107136,2.775487856,
texnet2017ihfa,4/28/2017,18:48:12,32.34558105,-96.90490723,0.048909505,0.63,1.884464586,20,manual,Bissett,final,quarry blast,15.19822628,122.88836,3.414513879,2.236509982,1.224459571,
