EventID,Evaluation Status,Origin Date,Origin Time,Local Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Minimum Station Distance (km),Last Updated
texnet2024tlfp,Automatic,2024-10-03,12:29:56,1.8,,31.6432,1.9,-104.4629,1.9,4.1,5.4,2.1,0.1,17,8,TXNet,earthquake,Western Texas,,,,,,,,,,107.18639795958995,3.262941488334909,2024-10-03 12:50:43
texnet2024tlcy,final,2024-10-03,11:10:31,1.7,,31.6257,0.9,-104.5158,0.9,8.5,9.8,0.9,0.2,32,18,TXNet,earthquake,Western Texas,,,,,,,,,,82.48208644607367,4.985688998960499,2024-10-03 12:20:00
texnet2024tlcb,final,2024-10-03,10:42:37,2.0,,31.5278,0.4,-104.0101,0.3,8.2,9.2,0.6,0.2,57,30,TXNet,earthquake,Western Texas,,,,,,,,,,42.48540211492802,4.244723128790037,2024-10-03 12:07:20
texnet2024tlax,final,2024-10-03,10:06:59,1.8,,31.4948,0.2,-103.9874,0.4,0.1,1.1,1.2,0.2,40,22,TXNet,earthquake,Western Texas,,,,,,,,,,42.11082001200679,5.309240687072327,2024-10-03 12:23:56
texnet2024tkyr,final,2024-10-03,09:00:09,2.1,,32.4142,0.3,-102.0635,0.2,7.9,8.8,0.5,0.1,58,34,TXNet,earthquake,Western Texas,,,,,,,,,,41.763326153919294,4.5122312761934635,2024-10-03 12:03:07
texnet2024tkvv,final,2024-10-03,07:31:46,1.6,,31.4980,0.3,-103.9922,0.3,3.4,4.4,1.1,0.1,33,24,TXNet,earthquake,Western Texas,,,,,,,,,,30.301176189604114,7.163961131715441,2024-10-03 09:50:57
texnet2024tkpx,final,2024-10-03,04:27:26,1.6,,31.6746,0.6,-104.4237,0.4,6.7,7.9,0.8,0.2,37,23,TXNet,earthquake,Western Texas,,,,,,,,,,62.74427320583414,2.193609220698536,2024-10-03 10:04:15
texnet2024tkpu,final,2024-10-03,04:23:02,1.0,,31.7679,0.4,-101.9242,0.4,8.6,9.4,1.9,0.2,26,14,TXNet,earthquake,Western Texas,,,,,,,,,,46.29316343504751,7.558412226651813,2024-10-03 13:11:00
texnet2024tkmw,final,2024-10-03,02:43:17,3.2,,32.4133,0.3,-102.0603,0.3,7.3,8.2,0.7,0.1,55,37,TXNet,earthquake,Western Texas,,,,,,,,,,51.99281299773062,4.796749924756743,2024-10-03 03:03:40
texnet2024tkls,final,2024-10-03,02:18:33,1.4,,31.6728,0.6,-104.4829,0.6,6.1,7.4,0.6,0.2,30,18,TXNet,earthquake,Western Texas,,,,,,,,,,71.44558447215522,1.7561678013245186,2024-10-03 10:16:10
texnet2024tkkn,final,2024-10-03,01:44:28,1.6,,31.6788,0.6,-104.4830,0.6,5.9,7.3,0.6,0.2,42,24,TXNet,earthquake,Western Texas,,,,,,,,,,85.19803104218022,2.0319920376545526,2024-10-03 10:26:02
texnet2024tkeo,final,2024-10-02,22:48:21,1.8,,31.9900,0.3,-103.8664,0.2,6.7,7.6,0.6,0.1,31,18,TXNet,earthquake,Western Texas,,,,,,,,,,26.145041409795297,6.179060315511797,2024-10-03 10:43:51
texnet2024tkeg,final,2024-10-02,22:40:28,1.7,,31.6212,0.3,-104.0913,0.2,6.1,7.1,0.3,0.2,65,35,TXNet,earthquake,Western Texas,,,,,,,,,,46.86005117331696,2.8954951404290075,2024-10-03 11:56:12
texnet2024tkcd,final,2024-10-02,21:37:06,1.7,,31.6075,0.2,-103.9732,0.2,7.6,8.6,0.3,0.1,51,29,TXNet,earthquake,Western Texas,,,,,,,,,,43.821730647085744,0.5458056996905243,2024-10-03 12:12:31
texnet2024tjyd,final,2024-10-02,19:24:03,1.2,,32.1890,0.3,-101.3926,0.3,6.1,6.9,1.1,0.1,30,19,TXNet,earthquake,Western Texas,,,,,,,,,,88.61090877379884,6.456387632306109,2024-10-03 14:57:54
