EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2019bvup,final,2019-01-27,03:48:09,3.0,,28.5031,1.6,-98.1407,0.9,4.0,4.1,2.1,0.2,29,25,TXNet,earthquake,Southern Texas,62,50,-116,279,47,-62,Moment Tensor,221.3894611,0.5137298108,85.7565570095955,2019-01-28 15:58:36
texnet2019bsua,final,2019-01-25,12:05:47,2.8,,31.0991,0.4,-103.7716,0.5,7.6,8.5,1.5,0.2,20,13,TXNet,earthquake,Western Texas,169,76,58,57,35,154,Moment Tensor,111.0129041,0.421797864,54.3938643295425,2019-05-24 19:54:03
texnet2019bjpk,final,2019-01-20,11:32:04,3.6,,31.4145,1.7,-94.2970,1.5,5.5,5.6,1.9,0.3,17,10,TXNet,earthquake,Louisiana-Texas Border Region,139,62,-24,241,69,-150,Moment Tensor,250.5166254,0.3938600634,218.787870110355,2019-01-22 17:19:46
texnet2018zmpr,final,2018-12-29,15:57:39,2.9,,31.3532,0.6,-103.0696,0.5,7.5,8.3,2.2,0.3,27,19,TXNet,earthquake,Western Texas,79,63,-75,228,31,-117,Moment Tensor,129.7056475,0.5771540013,151.97716185844502,2019-09-04 17:16:37
texnet2018yzlh,final,2018-12-22,10:58:03,3.8,,31.1469,0.7,-103.2356,0.7,8.2,9.1,1.8,0.4,45,29,TXNet,earthquake,Western Texas,172,37,-30,287,72,-123,Moment Tensor,133.4126302,0.1850015463,192.6348206769,2019-05-24 19:39:46
texnet2018wytd,final,2018-11-23,14:43:08,3.2,,31.0552,0.5,-103.3033,0.6,5.0,5.9,1.3,0.3,38,25,TXNet,earthquake,Western Texas,181,10,-93,4,80,-89,Moment Tensor,126.7799179,0.5842815985,163.46550512501997,2019-05-24 19:21:34
texnet2018vjmr,final,2018-11-01,00:52:37,2.4,,32.8464,0.6,-100.9081,0.6,5.5,6.2,0.8,0.1,22,12,TXNet,earthquake,Western Texas,190,71,-95,24,20,-77,Moment Tensor,145.7679713,0.3160522294,105.697948568373,2018-11-01 16:28:29
texnet2018vfoc,final,2018-10-29,21:03:22,2.3,,32.8464,0.6,-100.9081,0.6,5.2,5.9,0.8,0.1,22,13,TXNet,earthquake,Western Texas,156,61,-107,8,34,-62,Moment Tensor,134.6882802,0.4157161154,105.697948568373,2018-10-29 22:02:01
texnet2018vdfj,final,2018-10-28,14:21:13,3.2,,32.8528,0.7,-100.9113,0.7,5.4,6.1,0.8,0.2,24,15,TXNet,earthquake,Western Texas,177,57,-93,1,33,-86,Moment Tensor,121.1533803,0.3283703925,121.385578637925,2018-10-29 15:08:20
texnet2018tbdl,final,2018-09-29,00:03:15,3.1,3.2,28.8492,1.0,-98.2048,0.7,4.2,4.3,1.7,0.3,19,13,TXNet,earthquake,Southern Texas,222,47,-91,44,43,-89,Moment Tensor,242.1826177,0.3510019582,203.689276605675,2020-12-14 15:23:53
texnet2018sfcj,final,2018-09-16,22:31:03,2.7,,31.3395,0.6,-103.0944,0.8,8.8,9.6,1.7,0.3,35,23,TXNet,earthquake,Western Texas,288,59,-147,180,62,-35,Moment Tensor,115.5555482,0.6329266455,190.61692898471998,2019-09-04 17:38:53
texnet2018pask,final,2018-08-02,20:20:16,2.7,,29.1568,0.8,-97.6692,1.2,7.2,7.3,1.2,0.3,24,17,TXNet,earthquake,Central Texas,284,66,-27,25,66,-154,Moment Tensor,163.9439436,0.6620421852,253.05833056549497,2018-10-11 16:01:51
texnet2018pakf,final,2018-08-02,16:12:28,2.6,,30.9285,0.8,-103.4809,0.6,5.4,6.4,1.5,0.3,26,19,TXNet,earthquake,Western Texas,200,24,-89,19,66,-91,first motion,,,153.47486743974,2019-05-24 18:33:52
texnet2018ohds,final,2018-07-23,03:19:57,2.7,,32.3062,0.4,-97.4996,0.4,4.2,4.5,1.0,0.1,53,32,TXNet,earthquake,Central Texas,127,11,166,231,87,79,first motion,,,169.69468371786,2018-07-23 21:09:19
texnet2018nzru,final,2018-07-19,01:20:58,2.4,,30.9405,0.8,-103.4777,0.6,5.1,6.1,1.6,0.2,24,19,TXNet,earthquake,Western Texas,217,13,109,17,78,86,first motion,,,166.94060529068997,2019-05-24 18:23:03
