@publicID,preferredOriginID,region,date,magnitude,latitude,longitude,depth [km],latitude error [km],longitude error [km],depth error [km],minimum station distance [km],phase count,station count,mag_e,rms [s]
smi:local/texnet2022lsuk,smi:local/Origin/20221020160205.884023.45747,Western Texas,2022-06-16 19:39:12.675164,2.562031234,32.38069916,-101.6279678,4.108635426,3.436892748,5.272472382,4.854024887,0.1677305251,7.0,5.0,0.2916089851,0.0571666591
smi:local/texnet2020pcds,smi:local/Origin/20221020160429.851795.45787,Western Texas,2020-08-02 15:11:23.516974,2.531512207,31.93445396,-102.3198395,7.759915352,3.542258263,3.91606307,7.695165157,0.01235401072,6.0,4.0,0.7141010662999999,0.1202896267
smi:local/texnet2021vjhm,smi:local/Origin/20221020160104.362048.45790,Western Texas,2021-10-31 22:15:22.110014,2.517365842,32.328125,-101.6424866,4.680457592,7.637464046,4.539591312,4.11921072,0.141361177,6.0,4.0,0.33909051700000004,0.062083950879999995
smi:local/texnet2020udeo,smi:local/Origin/20221020160344.890525.45857,Western Texas,2020-10-13 08:25:44.983704,2.493071224,31.93976784,-102.3375626,5.511408806,2.026532173,2.139611721,4.918772697,0.01875249669,11.0,6.0,0.35290885299999997,0.1568328607
smi:local/texnet2020skry,smi:local/Origin/20221020160420.067698.45802,Western Texas,2020-09-19 00:04:05.145726,2.460657897,31.96947479,-102.3124771,7.313927174,5.643136977999999,5.399065018,8.958691597,0.01778603159,6.0,4.0,0.3497402188,0.07131354177999999
smi:local/texnet2020qpjh,smi:local/Origin/20221020160346.227136.45802,Western Texas,2020-08-24 02:18:46.665920,2.457658924,31.93946075,-102.3266602,6.859412193,3.173363447,5.345912457,7.957406044,0.01518543996,6.0,4.0,0.16557659019999998,0.07175340776
smi:local/texnet2020tsnl,smi:local/Origin/20221020160347.236641.45808,Western Texas,2020-10-07 12:25:11.073475,2.4450549880000003,32.09683609,-102.17794040000001,7.685257435,28.06431007,31.71512985,35.72948456,0.11507723480000001,6.0,5.0,0.1449971384,0.01889732227
smi:local/texnet2019cutx,smi:local/Origin/20221020160056.998201.45792,Western Texas,2019-02-09 19:50:45.003710,2.416883904,32.0499649,-102.2871094,2.522034645,4.7939448360000005,3.9650905130000003,4.101275444,0.2331525087,6.0,5.0,0.4403732116,0.1050002525
smi:local/texnet2020rkgu,smi:local/Origin/20221020160210.222847.45767,Western Texas,2020-09-04 12:53:26.034878,2.402363177,31.97499275,-102.3034897,5.861339569,5.6717600820000005,5.568165302000001,8.608224869,0.026775673030000002,6.0,4.0,0.23499128460000002,0.04873172739
smi:local/texnet2019cskd,smi:local/Origin/20221020160138.385399.45771,Western Texas,2019-02-08 12:38:55.702756,2.400994736,31.96956253,-102.30003359999999,3.78199029,3.830943584,6.577150822,5.283239365,0.2593753338,6.0,5.0,0.2840719337,0.05061981378
smi:local/texnet2020sslv,smi:local/Origin/20221020160116.407113.45800,Western Texas,2020-09-23 06:04:39.307674,2.400687885,32.10457993,-102.20864870000001,6.260835171,26.21138382,25.89454269,28.33180237,0.11022573710000001,6.0,5.0,0.3441907831,0.03386072562
smi:local/texnet2019bjwk,smi:local/Origin/20221020160241.222921.45790,Western Texas,2019-01-20 15:04:45.316885,2.391090192,32.1039772,-102.6776199,0.3135279715,3.602605343,4.166526794,7.51849556,0.1102125421,7.0,6.0,0.0539797386,0.5019293559
smi:local/texnet2022kwat,smi:local/Origin/20221020160315.593914.45754,Western Texas,2022-06-04 08:44:01.258121,2.386094756,32.28445435,-101.7870941,4.046942233999999,2.275443316,5.63812542,2.63043642,0.019741967319999998,7.0,5.0,0.35186616270000004,0.0523448945
smi:local/texnet2019cvgl,smi:local/Origin/20221020160108.828999.45817,Western Texas,2019-02-10 02:10:28.665295,2.368393749,31.97742844,-103.0601578,5.0,4.19479847,3.208194256,fixed,0.4566752613,6.0,4.0,0.12409026890000001,0.9928776256
smi:local/texnet2018zkav,smi:local/Origin/20221020160126.405124.45797,Western Texas,2018-12-28 06:10:55.487499,2.360150285,32.02911377,-102.2856522,1.7726628780000002,3.2632503510000004,3.868545055,9.326676369,0.24137642980000001,7.0,7.0,0.23750175850000002,0.1481777124
smi:local/texnet2017xrrq,smi:local/Origin/20221020160324.17147.45780,Western Texas,2017-12-03 23:33:00.822469,2.345429345,31.74744987,-102.30594640000001,68.07699585,11.35388947,10.42534256,23.92247772,0.5621750354999999,7.0,6.0,0.34328244880000003,0.2827765523
smi:local/texnet2018hipb,smi:local/Origin/20221020160031.148905.45776,Western Texas,2018-04-15 07:26:33.911216,2.338681144,32.03753662,-102.27239990000001,0.768378973,4.7171530719999994,4.003350258,4.696314335,0.24892617760000002,7.0,6.0,0.2517919848,0.36959763939999996
smi:local/texnet2020olpv,smi:local/Origin/20221020160319.282486.45778,Western Texas,2020-07-24 13:59:33.986308,2.327088063,32.12430573,-102.2179031,4.2410063739999995,23.03233719,30.66512489,11.46530056,0.12683430310000002,6.0,5.0,0.2419405269,0.004246832872
smi:local/texnet2020hbxa,smi:local/Origin/20221020160205.607717.45757,Western Texas,2020-04-10 15:31:21.309445,2.323980285,32.00107574,-102.2636108,5.0,5.493429184,3.7840478419999997,fixed,0.26991626620000003,6.0,5.0,0.21963024609999998,0.08568595947999999
smi:local/texnet2019lqul,smi:local/Origin/20221020160147.794468.45813,Western Texas,2019-06-15 17:23:20.634107,2.287041533,31.98390198,-102.3121567,4.355210304,5.580554962000001,5.810493469,4.354982853,0.2427599728,6.0,4.0,0.1965719769,0.01465868935
smi:local/texnet2020nrrp,smi:local/Origin/20221020160244.296527.45830,Western Texas,2020-07-13 16:09:53.548795,2.284425927,32.11346436,-102.1761551,4.482294559,3.357533455,4.314813137,6.365163803,0.20909258719999999,7.0,6.0,0.11115046640000001,0.06821504158
smi:local/texnet2018ndjh,smi:local/Origin/20221020160358.363473.45779,Western Texas,2018-07-06 20:04:19.681423,2.280460511,32.01449966,-102.2534561,0.6292832494,4.352281093999999,5.872711182000001,5.846274853,0.2722191811,6.0,5.0,0.4186382185,0.08246208667999999
smi:local/texnet2020vazk,smi:local/Origin/20221020160250.931906.45785,Western Texas,2020-10-26 09:05:39.035385,2.279329466,31.97506332,-102.3040237,6.06166172,5.7301101679999995,5.6227583889999995,8.65749836,0.02653883025,6.0,4.0,0.24127795719999998,0.04533655269
smi:local/texnet2022fozf,smi:local/Origin/20221020160145.194005.45766,Western Texas,2022-03-21 08:19:13.146627,2.260857135,32.38229752,-101.6391678,4.630402565,5.458897114,4.069097996,4.766324997,0.1589865834,6.0,5.0,0.25457632269999997,0.03782093633
smi:local/texnet2020tezl,smi:local/Origin/20221020160348.203375.45862,Western Texas,2020-09-30 02:34:18.507541,2.233145399,32.09410095,-102.16619109999999,7.885846138,28.20417404,33.1580162,37.59237289,0.1187208667,6.0,5.0,0.22449643589999999,0.014859567240000001
smi:local/texnet2022jfjk,smi:local/Origin/20221020160335.291005.45749,Western Texas,2022-05-12 00:14:52.222469,2.229890306,32.46846771,-101.6534195,2.6493361,2.846572161,1.916254759,2.154564381,0.19104018809999998,9.0,6.0,0.2562317124,0.7340348969
smi:local/texnet2021wlaa,smi:local/Origin/20221020160023.287057.45783,Western Texas,2021-11-16 02:17:19.365816,2.219658758,32.4064064,-101.5974426,4.615262508,5.375830173,22.68632889,9.933022499,0.1999291927,6.0,4.0,0.1721909201,0.045775245939999994
smi:local/texnet2020qgyi,smi:local/Origin/20221020160406.719929.45786,Western Texas,2020-08-19 11:41:12.639239,2.208501785,31.98152161,-102.3812561,4.114096165,12.35880756,21.79081535,11.75103664,0.05573262647000001,6.0,4.0,0.42938132960000003,0.028545818639999995
smi:local/texnet2020qsiy,smi:local/Origin/20221020160028.964269.45768,Western Texas,2020-08-25 17:31:56.285506,2.194777965,31.98843765,-102.34311679999999,4.536961079,17.19360733,25.47564316,13.02002716,0.037588160489999994,6.0,4.0,0.3643897161,0.08601909327
smi:local/texnet2020nwcn,smi:local/Origin/20221020160236.315461.45833,Western Texas,2020-07-16 02:13:45.143378,2.192052805,31.93637848,-102.3299255,4.756460667,5.564911842000001,2.901818037,4.466269016,0.09166070819,6.0,4.0,0.1726212221,0.07138086687
smi:local/texnet2020ocho,smi:local/Origin/20221020160346.362634.45787,Western Texas,2020-07-19 11:35:39.273899,2.189917512,31.94734955,-102.3386917,4.73554945,2.6499643330000002,3.886959791,3.364598513,0.030950970950000004,7.0,4.0,0.3169978953,0.07456366467
smi:local/texnet2022hccr,smi:local/Origin/20221020160022.104954.45742,Western Texas,2022-04-11 18:22:37.258854,2.188691565,32.3967514,-101.6242447,4.702096462,11.31806087,6.794250487999999,6.046919823,0.17534784969999997,6.0,4.0,0.216902095,0.0683358472
