@publicID,preferredOriginID,region,date,magnitude,latitude,longitude,depth [km],latitude error [km],longitude error [km],depth error [km],minimum station distance [km],phase count,station count,mag_e,rms [s]
texnet2019flos,smi:local/Origin/20221020160250.36433.45768,Western Texas,2019-03-19 11:37:02.795185,1.878344821,32.13947678,-102.6365814,5.289012908999999,4.681647778,3.917424202,7.005795479,0.07667174935,6.0,5.0,0.1275593312,0.1491624818
texnet2022bxuk,smi:local/Origin/20221020160504.069172.45760,Western Texas,2022-01-28 05:58:22.371869,1.878270009,32.38230515,-101.6258926,4.165565013999999,4.416565418,3.368579149,3.462175369,0.18285653,6.0,5.0,0.27362452600000003,0.2759595107
texnet2020mrsk,smi:local/Origin/20221020160243.148882.45813,Western Texas,2020-06-29 11:02:56.222202,1.87497312,32.11940002,-102.1267929,3.879306555,5.54621172,2.543988228,4.788928509,0.1595919132,6.0,4.0,0.33989226570000003,0.06426926095
texnet2019skfu,smi:local/Origin/20221020160422.601064.45765,Western Texas,2019-09-19 17:55:16.413877,1.8644613819999998,32.06292343,-102.3488388,16.05740738,6.1152734760000005,11.57629681,13.90962315,0.1793106496,6.0,4.0,0.2363956946,0.26119538579999996
texnet2018hirs,smi:local/Origin/20221020160453.71902.45771,Western Texas,2018-04-15 08:47:27.907458,1.856640695,32.1084404,-102.5651398,30.20282173,6.716861248,6.624209404,5.668047905,0.017872482539999998,6.0,4.0,0.7701421710999999,0.40653064590000004
texnet2020puop,smi:local/Origin/20221020160543.08521.45762,Western Texas,2020-08-12 17:08:03.163009,1.85541962,31.92194366,-102.2775497,4.8232970239999995,5.898069382,7.943132401000001,6.125658035,0.026936264710000005,6.0,4.0,0.47497639119999996,0.09654350333999999
texnet2018nqqh,smi:local/Origin/20221020160506.903501.45782,Western Texas,2018-07-14 02:22:44.975154,1.8453825330000002,32.010692600000006,-102.28911590000001,0.9861518145,4.9119491580000005,4.443982124,5.476902008,0.2462413907,6.0,5.0,0.37873912390000003,0.20124393010000002
texnet2020hbxb,smi:local/Origin/20221020160617.690051.45762,Western Texas,2020-04-10 15:31:57.657014,1.843922215,32.05745697,-102.3052063,3.9739563469999997,6.9742870329999995,4.883687019,4.346271992,0.07208443432999999,6.0,4.0,0.2886124308,0.09063036167
texnet2018euky,smi:local/Origin/20221020160301.29619.45755,Western Texas,2018-03-10 02:24:03.449962,1.84347648,31.99859238,-102.2649689,1.125206232,4.949286938,4.017836094,4.814905167,0.2699858546,6.0,5.0,0.43433551530000003,0.1440384449
texnet2018nddn,smi:local/Origin/20221020160306.155416.45771,Western Texas,2018-07-06 17:08:58.049019,1.8406083819999999,32.01874542,-102.28501130000001,2.7947404380000003,2.9056272510000003,4.105871677,4.231017113,0.24595575030000003,7.0,5.0,0.3749901896,0.4393257868
texnet2020ojuh,smi:local/Origin/20221020160535.758968.45756,Western Texas,2020-07-23 13:58:06.321793,1.837933396,31.99184799,-102.35626979999999,4.146102428,14.07020283,21.34977722,11.39354801,0.04631976411,6.0,4.0,0.4674441828,0.06449081092
texnet2020oldj,smi:local/Origin/20221020160206.016068.45768,Western Texas,2020-07-24 07:41:27.855922,1.837743017,32.04840851,-102.3221741,4.663706779,50.38706589,24.82901382,20.87652779,0.07580695301,6.0,4.0,0.1080920884,0.001854163284
texnet2020empu,smi:local/Origin/20221020160521.630844.45775,Western Texas,2020-03-04 19:44:53.881479,1.8349050480000002,31.93014526,-102.3178329,4.607888699,5.2876029010000005,2.956620693,4.50548172,0.08941002935,6.0,4.0,0.1038581373,0.07493737119
texnet2018umoi,smi:local/Origin/20221020160256.475539.45751,Western Texas,2018-10-19 11:35:37.415054,1.8337263,32.01004028,-102.2451172,1.116980433,4.792528152,3.9720075130000003,4.639612675,0.2804767787,6.0,5.0,0.3529229306,0.11683700720000001
texnet2020oxql,smi:local/Origin/20221020160141.75558.45771,Western Texas,2020-07-31 03:56:03.091993,1.8304890630000001,32.02793884,-102.260643,8.540507317000001,31.636186600000002,6.280543804,25.23025131,0.02805666812,6.0,4.0,0.3412276666,0.00938511359
texnet2020kvax,smi:local/Origin/20221020160542.730864.45783,Western Texas,2020-06-02 19:40:17.254281,1.830262389,32.12475967,-102.17958829999999,3.486961126,4.043088913,3.79049325,4.968651295,0.1385035366,6.0,4.0,0.2079484934,0.1031876002
texnet2019jyes,smi:local/Origin/20221020160204.869343.45782,Western Texas,2019-05-22 07:28:16.427762,1.8287289530000002,32.16509628,-102.6374207,7.178676605,3.700814962,6.794133662999999,10.43749905,0.08731099963,6.0,5.0,0.1204248905,0.1702844405
texnet2019cvqk,smi:local/Origin/20221020160324.446147.45770,Western Texas,2019-02-10 07:12:26.693123,1.822112331,32.14181137,-102.62611390000001,6.426577091,2.920433998,7.787969588999999,11.64592552,0.06881026179,6.0,4.0,0.2356634358,0.06632709921
texnet2020oarx,smi:local/Origin/20221020160210.280484.45762,Western Texas,2020-07-18 14:32:48.609770,1.816098429,31.937629700000002,-102.3258743,6.482021332,3.256831884,4.954341888,7.872071266,0.01690988056,6.0,4.0,0.47778511119999995,0.07776471132
texnet2019gqzo,smi:local/Origin/20221020160541.383272.45761,Western Texas,2019-04-05 16:17:55.188959,1.811398181,32.11581039,-102.654335,3.179186821,4.3290829660000005,2.27067852,3.247171164,0.08937162906,6.0,5.0,0.1775876799,0.1101739515
texnet2021pehg,smi:local/Origin/20221020160110.533559.45761,Western Texas,2021-08-04 19:14:35.590428,1.8077240730000002,32.29768753,-101.8040085,5.6778268810000005,5.677774906000001,19.8292141,5.402645588,0.034049361939999995,6.0,4.0,0.5060197525,0.047660130530000004
texnet2018dgps,smi:local/Origin/20221020160317.676116.45756,Western Texas,2018-02-16 07:21:41.665924,1.806360662,32.00107193,-102.3217087,1.7271810769999998,3.120736599,4.465615273,3.973502636,0.2266511768,6.0,4.0,0.47165313229999994,0.2759925808
texnet2019wavo,smi:local/Origin/20221020160231.12414.45778,Western Texas,2019-11-10 12:40:16.654134,1.801887341,31.95062828,-102.27878570000001,13.94743919,7.043374537999999,2.814916372,5.14239502,0.05451868847,7.0,5.0,0.2110217615,0.5724149867
texnet2020esch,smi:local/Origin/20221020160353.457354.45756,Western Texas,2020-03-07 19:44:21.603966,1.801053745,31.92685127,-102.31190490000002,3.792994022,1.8735562559999999,2.506443024,2.444576979,0.08907639980000001,9.0,7.0,0.6240132381,0.38699225509999996
texnet2020nbul,smi:local/Origin/20221020160451.538064.45816,Western Texas,2020-07-04 23:25:50.149403,1.799381268,32.12013245,-102.2136917,4.117272377,4.743361473,4.572334766,5.279868126,0.1237030029,6.0,4.0,0.18821628629999998,0.0638974714
texnet2019ftks,smi:local/Origin/20221020160450.094342.45768,Western Texas,2019-03-23 18:40:28.503791,1.788986236,32.13478088,-102.6510849,5.856539726,3.865866423,6.524702072,11.22015285,0.08773420006,6.0,5.0,0.1513260286,0.09463272654999999
texnet2020ossu,smi:local/Origin/20221020160307.865314.45780,Western Texas,2020-07-28 11:26:04.064160,1.7861074019999998,31.93786049,-102.32505040000001,7.424017906,3.2925822730000003,4.892352581,7.862615585,0.01662341505,6.0,4.0,0.4530792207,0.09929742623
texnet2019yces,smi:local/Origin/20221020160508.823969.45818,Western Texas,2019-12-09 17:31:19.349714,1.7843528309999999,31.974744800000003,-102.33663940000001,4.779873371,6.553646088,2.845420837,4.097840309,0.07579129933999999,6.0,4.0,0.1358621834,0.0590632402
texnet2020sljl,smi:local/Origin/20221020160107.652486.45772,Western Texas,2020-09-19 08:54:26.477231,1.7835255840000002,31.9682827,-102.31313320000001,7.503655434,5.541935444,5.219295502,8.937449455,0.016486253590000003,6.0,4.0,0.32021136920000004,0.07594370246
texnet2020wigg,smi:local/Origin/20221020160129.328198.45779,Western Texas,2020-11-13 14:02:35.394601,1.782228235,32.19614792,-102.7356415,5.0,14.78803253,11.14333057,fixed,0.17543151969999998,6.0,4.0,0.1894226037,0.14186218849999999
texnet2018mqmg,smi:local/Origin/20221020160044.48042.45773,Western Texas,2018-06-29 18:47:21.390512,1.779984047,32.02890396,-102.30398559999999,7.421820641,4.841095448,4.748901844,6.883385658,0.2271122336,6.0,5.0,0.34149133600000003,0.14856413
texnet2020ogfi,smi:local/Origin/20221020160252.751664.45770,Western Texas,2020-07-21 15:00:36.633382,1.7797422040000002,31.93812752,-102.3254776,7.400660038,3.272377253,4.991791248,7.898627758,0.01638431102,6.0,4.0,0.332844121,0.09819225629
texnet2020hbxa,smi:local/Origin/20221020160133.14175.45757,Western Texas,2020-04-10 15:31:21.151243,1.7762546609999998,32.03621674,-102.3212128,5.372536659,3.9917662139999996,2.719783783,4.386951447,0.06812249869,6.0,4.0,0.4517775072,0.07557177436000001
texnet2020woth,smi:local/Origin/20221020160549.308724.45793,Western Texas,2020-11-17 03:26:24.069402,1.770048445,32.28940201,-102.1517181,7.793388367,5.565152645,5.572369098999999,50.4934082,0.30043518539999997,7.0,7.0,0.2774497209,0.04606180022
texnet2018inja,smi:local/Origin/20221020160440.594227.45784,Western Texas,2018-05-02 03:36:07.901983,1.769087707,32.0249939,-102.26142879999999,5.0,4.155076027,2.662438631,fixed,0.262011677,7.0,6.0,0.1966593398,0.6286068968
texnet2020bdhb,smi:local/Origin/20221020160044.380771.45769,Western Texas,2020-01-17 00:30:15.281966,1.768374338,31.92212486,-102.3198929,4.201802731,5.675247669,2.835639477,4.921433926,0.09684373437999999,6.0,4.0,0.3641605631,0.034697764910000005
texnet2020vicu,smi:local/Origin/20221020160535.831804.45792,Western Texas,2020-10-30 06:45:12.558866,1.763404676,32.41307068,-101.5825272,4.6841812130000005,3.278962374,5.7989091870000005,6.661533833,0.3164664209,6.0,5.0,0.2821051987,0.026028262830000003
texnet2020nebh,smi:local/Origin/20221020160310.262904.45782,Western Texas,2020-07-06 05:09:56.221355,1.756544105,31.99490929,-102.3316269,9.361976624,4.778581142,2.903686285,5.589183331,0.06724283844,6.0,4.0,0.2889180377,0.22552246480000002
texnet2018ndjj,smi:local/Origin/20221020160415.311988.45761,Western Texas,2018-07-06 20:06:12.989275,1.75385275,32.0159874,-102.30684659999999,5.8165812489999995,3.8442947860000003,8.23917675,12.55623913,0.230409205,6.0,4.0,0.39390738200000003,0.26768561890000003
texnet2018namu,smi:local/Origin/20221020160520.738432.45759,Western Texas,2018-07-05 06:25:59.073288,1.7528798190000001,32.02280045,-102.256218,2.43445158,4.86446476,4.925529957,5.82644701,0.2669302821,6.0,5.0,0.35766873880000005,0.22139606690000002
texnet2020punj,smi:local/Origin/20221020160616.814269.45759,Western Texas,2020-08-12 16:30:36.048081,1.744640978,31.97045708,-102.3113937,6.602216244,5.638676642999999,5.430134296,8.862356186,0.019110130149999998,6.0,4.0,0.3186467253,0.04813896608
texnet2020fuga,smi:local/Origin/20221020160502.660039.45773,Western Texas,2020-03-23 05:26:50.342658,1.742026056,31.92217827,-102.31509399999999,4.485762118999999,4.347648621,2.83457303,3.605928659,0.09445400536000001,7.0,5.0,0.3301177522,0.059180269199999996
